Target Percentage,SMOTE,Face Detection,Not You Precision,Not You Recall,Not You F1,You Precision,You Recall,You F1,Macro Avg F1,Weighted Avg F1
5,False,True,1.0,1.0,1.0,1.0,0.92,0.96,0.98,1.0
5,True,True,1.0,1.0,1.0,1.0,0.92,0.96,0.98,1.0
5,False,False,0.96,1.0,0.98,1.0,0.15,0.27,0.62,0.94
5,True,False,0.96,1.0,0.98,1.0,0.23,0.38,0.68,0.95
10,False,True,0.98,1.0,0.99,1.0,0.83,0.91,0.95,0.98
10,True,True,0.99,1.0,1.0,1.0,0.92,0.96,0.98,0.99
10,False,False,0.98,1.0,0.99,1.0,0.77,0.87,0.93,0.98
10,True,False,0.98,1.0,0.99,1.0,0.77,0.87,0.93,0.98
15,False,True,0.99,1.0,0.99,1.0,0.92,0.96,0.98,0.99
15,True,True,0.97,1.0,0.99,1.0,0.85,0.92,0.95,0.98
15,False,False,0.97,1.0,0.99,1.0,0.85,0.92,0.95,0.98
15,True,False,0.96,1.0,0.98,1.0,0.77,0.87,0.93,0.96
20,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,False,False,0.93,1.0,0.96,1.0,0.71,0.83,0.9,0.94
20,True,False,0.92,1.0,0.96,1.0,0.64,0.78,0.87,0.92
25,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,False,False,0.93,1.0,0.96,1.0,0.77,0.87,0.92,0.94
25,True,False,0.93,1.0,0.96,1.0,0.77,0.87,0.92,0.94
30,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,False,False,0.91,0.97,0.94,0.91,0.77,0.83,0.89,0.91
30,True,False,0.91,0.97,0.94,0.91,0.77,0.83,0.89,0.91
35,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,False,True,0.95,1.0,0.97,1.0,0.92,0.96,0.97,0.97
40,True,True,0.95,1.0,0.97,1.0,0.92,0.96,0.97,0.97
40,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,True,False,0.95,1.0,0.98,1.0,0.93,0.96,0.97,0.97
45,False,True,0.94,1.0,0.97,1.0,0.92,0.96,0.96,0.96
45,True,True,0.94,1.0,0.97,1.0,0.92,0.96,0.96,0.96
45,False,False,0.94,1.0,0.97,1.0,0.93,0.96,0.97,0.97
45,True,False,0.94,1.0,0.97,1.0,0.93,0.96,0.97,0.97
50,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,False,False,0.88,1.0,0.93,1.0,0.85,0.92,0.93,0.93
50,True,False,0.88,1.0,0.93,1.0,0.85,0.92,0.93,0.93
55,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,True,False,0.92,1.0,0.96,1.0,0.93,0.96,0.96,0.96
60,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,False,True,0.88,1.0,0.93,1.0,0.92,0.96,0.95,0.95
65,True,True,0.88,1.0,0.93,1.0,0.92,0.96,0.95,0.95
65,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,False,True,0.75,0.6,0.67,0.86,0.92,0.89,0.78,0.83
70,True,True,0.75,0.6,0.67,0.86,0.92,0.89,0.78,0.83
70,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,False,True,0.8,1.0,0.89,1.0,0.92,0.96,0.92,0.94
75,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,False,False,1.0,0.8,0.89,0.93,1.0,0.96,0.93,0.94
75,True,False,1.0,0.8,0.89,0.93,1.0,0.96,0.93,0.94
80,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,False,False,1.0,0.75,0.86,0.93,1.0,0.96,0.91,0.94
80,True,False,0.75,0.75,0.75,0.92,0.92,0.92,0.84,0.88
90,False,True,1.0,0.5,0.67,0.92,1.0,0.96,0.81,0.92
90,True,True,1.0,0.5,0.67,0.92,1.0,0.96,0.81,0.92
90,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0



Best Combination based on Weighted Avg F1:
Target Percentage: 5
SMOTE: False
Face Detection: True
Weighted Avg F1 Score: 1.0
